Artist_ID,Modelo,MSE,MAE,RMSE,MAPE
A01,LSTM,1293724.9859178348,986.6278046875,1131.0138539449927,0.2501167580371511
A02,LSTM,350882.455942899,397.057254231771,575.9005953239304,0.05411715449067943
A03,LSTM,3822100016.820558,52305.15833333334,60971.30204479201,0.0757432512387963
A04,LSTM,406759.4384807099,585.8001258138022,634.1877723357895,0.2434639769778194
A05,LSTM,2080446749.1745927,33880.917361111126,45584.84174817262,0.08491209736181023
A06,LSTM,733283643.8416262,24183.43260416667,27004.028997813784,0.16775510221377865
A07,LSTM,6334159466.889275,50403.93145833333,67185.83812945131,0.07227927979437622
A08,LSTM,20633247.800473925,3750.7999381510413,4221.516853531177,0.16566683340377977
A09,LSTM,7666527.168338705,2453.1022477213546,2767.756070336737,0.20160224381536238
A10,LSTM,919483.85892092,835.7473697916671,921.0418009055272,0.07140811057141444
A11,LSTM,1356331.4621004318,990.1455354817708,1144.5841036753832,0.13866552414779126
A12,LSTM,456991.05378416117,599.3541634114583,640.7836793129331,0.31300379492125785
A13,LSTM,25211014043.706135,128055.68965277779,153992.02215376662,0.1896644961138286
A14,LSTM,2341879665.7016516,41518.33739583334,47833.06334461401,0.1122063777217811
A15,LSTM,650795525.1883506,19287.121319444446,23026.907871142485,0.04288927075551121
