artist_id,fecha_prediccion,royalties_forecast
A01,2025-04-01,3980.310302734375
A01,2025-05-01,5484.69482421875
A01,2025-06-01,5347.12548828125
A01,2025-07-01,5347.18408203125
A01,2025-08-01,5350.48779296875
A01,2025-09-01,5345.52392578125
A02,2025-04-01,7110.2158203125
A02,2025-05-01,7177.7919921875
A02,2025-06-01,7180.25
A02,2025-07-01,7858.2333984375
A02,2025-08-01,8160.25146484375
A02,2025-09-01,8671.015625
A03,2025-04-01,746984.0
A03,2025-05-01,741020.8125
A03,2025-06-01,739048.25
A03,2025-07-01,693106.0625
A03,2025-08-01,713742.4375
A03,2025-09-01,718333.625
A04,2025-04-01,2412.508056640625
A04,2025-05-01,2425.28076171875
A04,2025-06-01,2419.81640625
A04,2025-07-01,2417.656982421875
A04,2025-08-01,2582.336669921875
A04,2025-09-01,2916.98046875
A05,2025-04-01,342021.90625
A05,2025-05-01,334032.8125
A05,2025-06-01,330384.3125
A05,2025-07-01,333960.15625
A05,2025-08-01,334330.78125
A05,2025-09-01,334331.90625
A06,2025-04-01,156358.96875
A06,2025-05-01,156298.5625
A06,2025-06-01,156298.5625
A06,2025-07-01,156298.5625
A06,2025-08-01,156298.5625
A06,2025-09-01,156298.3125
A07,2025-04-01,756349.6875
A07,2025-05-01,726728.1875
A07,2025-06-01,742207.75
A07,2025-07-01,700036.5
A07,2025-08-01,689439.6875
A07,2025-09-01,690622.625
A08,2025-04-01,33645.78125
A08,2025-05-01,39644.96875
A08,2025-06-01,40360.16015625
A08,2025-07-01,40361.75
A08,2025-08-01,40390.07421875
A08,2025-09-01,40390.07421875
A09,2025-04-01,9802.8095703125
A09,2025-05-01,10137.6865234375
A09,2025-06-01,10137.6416015625
A09,2025-07-01,9982.36328125
A09,2025-08-01,9982.3125
A09,2025-09-01,10166.033203125
A10,2025-04-01,12753.1513671875
A10,2025-05-01,12665.2646484375
A10,2025-06-01,14197.400390625
A10,2025-07-01,14207.279296875
A10,2025-08-01,14207.279296875
A10,2025-09-01,14207.2822265625
A11,2025-04-01,7172.6611328125
A11,2025-05-01,7122.7392578125
A11,2025-06-01,7110.55517578125
A11,2025-07-01,7165.76171875
A11,2025-08-01,7168.53515625
A11,2025-09-01,7162.04931640625
A12,2025-04-01,2035.8621826171875
A12,2025-05-01,2024.581787109375
A12,2025-06-01,2020.3873291015625
A12,2025-07-01,2021.2147216796875
A12,2025-08-01,2028.2742919921875
A12,2025-09-01,2032.75634765625
A13,2025-04-01,547980.3125
A13,2025-05-01,556784.9375
A13,2025-06-01,556801.75
A13,2025-07-01,556812.0625
A13,2025-08-01,557332.125
A13,2025-09-01,557406.5625
A14,2025-04-01,356749.15625
A14,2025-05-01,356769.15625
A14,2025-06-01,343636.78125
A14,2025-07-01,343636.78125
A14,2025-08-01,343430.0625
A14,2025-09-01,335204.96875
A15,2025-04-01,479016.0625
A15,2025-05-01,479042.90625
A15,2025-06-01,479043.375
A15,2025-07-01,479403.3125
A15,2025-08-01,481285.0
A15,2025-09-01,480736.46875
